fi-17;Есть настольный футбол
fn-89-17;Настольный футбол не обязателен
fi-22;Можно сидеть после закрытия
fn-97-22;Нет необходимости сидеть после закрытия
fi-30;Не требуется QR-код
fn-23-30;Все равно проверяют ли QR-кода
fi-24;Есть кальян
fn-92-24;Кальян не обязателен
fi-26;Есть кухня
fn-95-26;Кухня не обязательна
fi-28;Милые официанты
fn-98-28;Устроят обычные официанты
fi-107;Хочу кота!
fn-108-107;Кот не обязателен
fi-110;Есть столики на улице
fn-111-110;Нет столиков на улице
fia-1;Коктейли
fia-2;Крепкие напитки
fia-3;Пиво
fia-4;Cидр
fia-5;Вино
fib-6;Посидеть на сотку
fib-7;Посидеть на стипендию
fib-8;Посидеть на зарплату
fil-39;Располагается на западном
fil-40;Располагается на северном
fil-41;Располагается в центрe
fic-68;В одиночку
fic-32;Вдвоем
fic-66;Компания до 4 человек
fic-31;Большая компания
ff-73;Бар Пив&ко
ff-103;Бар Пивноff
ff-42;Бар Есенин
ff-43;Бар O.W.Grant
ff-44;Бар Сияние
ff-45;Бар Мистер Fox
ff-46;Бар Дрова
ff-47;Бар Hops
ff-48;Бар Свой Бар
ff-49;Бар Эйнштейн
ff-50;Бар Пинта
ff-51;Бар Добрый Эль
ff-52;Бар Немец Перец Колбаса
ff-53;Бар Голодранец
ff-54;Бар 1984
ff-55;Бар Квадрюпель
ff-56;Бар Красный Крокодил
ff-57;Бар Шамайка
ff-58;Бар Коррида
ff-59;Бар London Pub
ff-60;Бар St. Patrick’s Pub
ff-61;Бар Mozart Wine House
ff-62;Бар Шкипер
ff-63;Бар Mojo
ff-64;Бар Чёрный кот
f-973;Бар Пив&ко
f-9103;Бар Пивноff
f-942;Бар Есенин
f-943;Бар O.W.Grant
f-944;Бар Сияние
f-945;Бар Мистер Fox
f-946;Бар Дрова
f-947;Бар Hops
f-948;Бар Свой Бар
f-949;Бар Эйнштейн
f-950;Бар Пинта
f-951;Бар Добрый Эль
f-952;Бар Немец Перец Колбаса
f-953;Бар Голодранец
f-954;Бар 1984
f-955;Бар Квадрюпель
f-956;Бар Красный Крокодил
f-957;Бар Шамайка
f-958;Бар Коррида
f-959;Бар London Pub
f-960;Бар St. Patrick’s Pub
f-961;Бар Mozart Wine House
f-962;Бар Шкипер
f-963;Бар Mojo
f-964;Бар Чёрный кот
f-69;Большой бар
f-70;Бар с парой больших столов
f-71;Бар только с маленькими столиками
f-72;Бар без столиков
f-74;Дешёвый бар
f-75;Бар средней ценовой категории
f-76;Дорогой бар
f-81;Слабоалкогольные напитки
f-82;Сидрерия
f-83;Пивной бар
f-84;Коктейльный бар
f-85;Винный бар
f-86;Бар широкого профиля
f-112;Можно посидеть компанией
f-113;Бар-ресторан с хорошим обслуживанием
f-114;Зашли просто выпить
f-115;Привитый
f-116;Отмечаем что-то
f-122;Социо- и котофоб
f-121;Кошатники
f-105;Мы не хотим фичи
f-117;Обниматься с котом  до закрытия 
f-118;Обниматься с котом до утра
f-119;Бар для представительных персон
f-120;Бар для привитых представительных персон
f-123;Бар для представительных персон, которым рано вставать
f-124;Социо- и котофоб, которому рано вставать
f-125;Бар для привитых представительных персон, которым ещё и рано вставать (жалко их...)
f-126;Нелюдимый алкоголик пришёл сидеть до утра
f-127;Нелюдимый  социально ответственный алкоголик пришёл сидеть до утра
f-128;Алкоголик-домосед пришёл сидеть до утра
f-129;Алкоголик-домосед-антиваксер пришёл сидеть до утра
f-130;Привитый курильщик
f-131;Обозлённый на мир офисный планктон
f-132;Привитый курильщик который хочет выпить без кота и встать рано
f-133;Привитый курильщик-футболист который хочет выпить без кота и встать рано
f-134;Непривередливый игрок в кикер
f-135;Привитый непривередливый игрок в кикер
f-136;Мерзлявый непривитый алкоигрок в кикер
f-137;Жаворонок-одиночка, который просто хочет накатить
f-138;Привитый жаворонок-одиночка, который просто хочет накатить  на свежем воздухе
